top - 15:05:21 up  1:27,  1 user,  load average: 1.09, 0.43, 0.31
Tasks: 318 total,   2 running, 316 sleeping,   0 stopped,   0 zombie
%Cpu(s):  3.8 us,  7.7 sy,  0.0 ni, 88.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.7 total,    235.8 free,   2184.5 used,   1416.7 buff/cache     
MiB Swap:   3730.0 total,   3729.5 free,      0.5 used.   1683.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   3867 dev-onb+  20   0  236340   6568   6056 S   0.0   0.2   0:00.02 gvfsd-m+
   3869 dev-onb+  20   0  609440   8900   7748 S   0.0   0.2   0:00.06 gvfsd-t+
   3921 dev-onb+  39  19  810036  31052  18724 S   0.0   0.8   0:00.77 tracker+
   3941 dev-onb+  20   0 2531508  26924  22160 S   0.0   0.7   0:00.07 gjs
   3954 dev-onb+  20   0  832808  14616  11800 S   0.0   0.4   0:00.39 xdg-des+
   3960 dev-onb+  20   0 1431464 157940  96828 S   0.0   4.0   0:01.43 xdg-des+
   3968 dev-onb+  20   0  657240  83132  65864 S   0.0   2.1   0:00.21 gsd-xse+
   4009 dev-onb+  20   0 3363900  67464  49188 S   0.0   1.7   0:02.11 gjs
   4054 dev-onb+  20   0  267140  24764  18048 S   0.0   0.6   0:00.11 ibus-x11
   4060 dev-onb+  20   0  417784  26308  19524 S   0.0   0.7   0:00.13 xdg-des+
   4066 dev-onb+  20   0  738080  90036  70608 S   0.0   2.3   0:00.25 mutter-+
   4199 dev-onb+  20   0  565464  26656  19872 S   0.0   0.7   0:00.47 update-+
   4741 dev-onb+  20   0  388228   8372   7476 S   0.0   0.2   0:00.01 gvfsd-r+
   5281 dev-onb+  20   0  701312  59404  44552 S   0.0   1.5   0:16.33 gnome-t+
   5289 dev-onb+  20   0   11024   5020   3740 S   0.0   0.1   0:00.15 bash
   5527 dev-onb+  20   0   11.4g 634416 248296 S   0.0  16.0   3:31.35 firefox
   5675 dev-onb+  20   0   21284   4368   3984 S   0.0   0.1   0:00.00 crashhe+
   5745 dev-onb+  20   0  228588  50160  40816 S   0.0   1.3   0:00.06 Socket +
   5769 dev-onb+  20   0  295816  33728  25152 S   0.0   0.9   0:00.08 forkser+
   5781 dev-onb+  20   0 2454200  90716  66836 S   0.0   2.3   0:00.85 WebExte+
   5788 dev-onb+  20   0  462460  65180  52868 S   0.0   1.6   0:00.23 RDD Pro+
   5814 dev-onb+  20   0 2621644 216832  92152 S   0.0   5.5   0:13.59 Privile+
   5848 dev-onb+  20   0 1765384  23668  15872 S   0.0   0.6   0:00.17 snap
   6344 dev-onb+  20   0  443236  49272  37476 S   0.0   1.2   0:00.12 Utility+
   6352 dev-onb+  20   0 2646644 232008 100700 S   0.0   5.9   0:17.53 Isolate+
   6360 dev-onb+  20   0 3107916 530252 107272 S   0.0  13.4   2:43.08 Isolate+
   6838 dev-onb+  20   0 2429088  84300  68912 S   0.0   2.1   0:01.47 Isolate+
   6844 dev-onb+  20   0 2428496  77500  61728 S   0.0   2.0   0:02.30 Isolate+
   6884 dev-onb+  20   0 2417684  68800  54308 S   0.0   1.7   0:00.08 Web Con+
   6935 dev-onb+  20   0 2417684  68820  54324 S   0.0   1.7   0:00.09 Web Con+
   6941 dev-onb+  20   0 2417684  68820  54324 S   0.0   1.7   0:00.10 Web Con+
   8383 dev-onb+  20   0  462188   8604   7708 S   0.0   0.2   0:00.01 gvfsd-n+
   8393 dev-onb+  20   0  390548   9040   8016 S   0.0   0.2   0:00.01 gvfsd-d+
